h1990	h1995	h2000	h2005	h2010	h2015	h2020	h2025	h2030
3	5	5	3	3	5	3	4	3
NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2
4	4	4	4	4	4	4	4	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	2	2	2	2	2	2	2
3	3	3	3	3	5	3	2	3
3	3	4	4	4	4	4	4	4
2	5	5	3	5	5	5	3	5
NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	3	5	3	5	3	2	3
3	3	4	4	4	4	4	4	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
4	1	1	1	1	4	4	5	1
3	3	3	5	3	5	5	2	3
2	5	5	3	5	2	2	2	2
4	1	4	4	4	4	4	5	1
2	2	2	2	2	2	2	2	2
2	2	5	3	3	5	3	4	3
3	3	4	5	3	3	3	4	4
3	3	3	5	3	3	3	2	3
2	5	5	3	5	5	5	3	3
3	3	3	5	3	3	3	4	4
4	4	4	4	4	3	4	4	4
5	1	1	1	4	4	4	4	4
4	4	4	4	4	4	4	4	4
3	3	3	5	3	3	3	4	3
4	4	4	4	4	4	4	4	4
1	1	1	1	1	1	1	1	1
4	4	4	4	4	4	4	5	1
2	2	5	2	2	2	2	2	2
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	3	5	3	3	3	4	4
1	1	1	1	1	1	1	1	1
3	3	3	3	3	5	3	2	3
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	1	1	1	1	1	1	1
NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	3	5	3	3	3	4	4
4	4	4	4	4	4	4	4	4
3	3	4	5	3	3	3	4	4
3	3	3	5	3	3	3	2	3
3	3	3	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	3	5	3	3	3	4	4
3	3	3	5	4	3	4	4	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	1	1	1	1	1	1	1
4	1	1	1	1	1	1	1	1
2	5	5	3	5	5	5	2	3
4	4	4	4	4	4	4	5	4
4	4	4	4	4	4	4	4	4
1	4	4	4	4	4	4	5	4
3	3	4	5	4	3	4	4	4
3	3	3	3	3	3	3	4	3
3	3	3	5	3	3	3	4	4
4	4	4	5	3	3	3	4	4
2	2	5	2	5	2	5	2	3
1	1	1	1	1	4	4	4	4
1	1	1	1	1	1	1	1	1
3	4	4	4	4	4	4	5	1
3	5	3	3	3	5	3	4	3
2	2	2	2	2	2	2	2	2
3	3	3	3	4	4	4	5	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
2	3	3	5	3	3	3	4	4
2	5	5	3	3	5	3	4	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	2	2	2	2	3	2	2
2	5	5	3	5	5	5	3	3
4	4	4	4	4	4	4	5	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
4	4	4	4	4	4	4	4	4
4	4	4	4	4	4	4	5	1
4	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
4	1	1	1	1	1	1	1	1
