m1990	m1995	m2000	m2005	m2010	m2015	m2020	m2025	m2030
3	3	3	3	3	3	5	5	5
NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2
1	4	5	5	4	5	4	4	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	2	2	2	2	2	2	2
3	3	3	3	5	3	3	3	3
1	4	5	5	1	5	1	1	1
2	2	2	3	3	3	3	3	3
NA	NA	NA	NA	NA	NA	NA	NA	NA
4	3	4	4	3	3	5	5	5
4	3	4	4	3	3	5	5	5
NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	1	1	1	1	1	1	1
3	3	4	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2
3	3	4	4	4	4	4	4	4
2	2	2	2	2	2	2	2	2
3	3	4	4	4	3	5	5	5
4	3	4	4	4	4	4	4	4
3	3	4	4	3	3	5	5	2
3	5	3	3	5	3	3	3	3
4	3	4	4	4	4	4	4	4
3	3	4	4	4	3	5	5	5
5	1	1	1	1	5	4	4	4
1	4	5	5	4	5	4	4	4
4	3	4	4	4	4	4	4	4
1	4	5	5	1	5	4	4	4
1	1	1	1	1	1	1	1	1
1	4	5	1	1	5	1	1	1
2	2	2	2	2	2	2	2	2
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	4	4	4	4	4	4	4
5	1	1	1	1	1	1	1	1
3	3	4	4	3	3	5	5	5
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	1	1	1	1	1	1	1
NA	NA	NA	NA	NA	NA	NA	NA	NA
4	3	4	4	4	4	4	4	4
1	4	5	5	4	5	4	4	4
3	3	3	4	4	3	5	5	5
3	3	4	4	4	4	2	2	2
2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	4	4	4	4	4	4	4
4	3	4	4	4	4	4	4	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
3	3	3	3	3	3	5	5	5
1	4	5	5	1	5	4	4	4
4	3	4	5	4	5	4	4	4
1	4	5	5	1	5	4	4	4
4	4	5	5	4	5	4	4	4
4	3	4	4	4	4	5	5	5
3	3	4	4	4	4	4	4	4
3	3	4	4	4	2	2	2	2
3	3	2	2	2	2	2	2	2
1	1	1	1	1	5	4	4	4
1	1	1	1	1	5	1	1	1
4	3	4	4	4	4	4	4	4
3	2	3	3	3	3	3	3	3
2	2	2	2	2	2	2	2	2
3	3	3	4	4	5	4	4	4
NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	4	4	4	4	4	4	4
3	5	3	3	5	3	5	5	5
NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	2	2	2	2	2	2	2
2	2	3	3	3	3	5	5	5
1	4	5	5	1	5	1	1	1
NA	NA	NA	NA	NA	NA	NA	NA	NA
4	4	4	4	4	4	4	4	4
1	4	5	5	1	5	1	1	1
4	4	1	1	1	5	1	1	1
1	1	1	1	1	5	1	1	1
1	1	1	1	1	1	1	1	1
